link,participants,quote,rank,rating,title
https://movie.douban.com/subject/1292337/,200740人评价,我的平常生活就是他人的幸福。,121,9.1,无人知晓
https://movie.douban.com/subject/1291545/,428625人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,122,8.8,大鱼
https://movie.douban.com/subject/4917726/,464220人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,123,8.8,阳光姐妹淘
https://movie.douban.com/subject/5989818/,363124人评价,触不到的恋人。,124,8.9,萤火之森
https://movie.douban.com/subject/11026735/,722734人评价,Balalala~~~,125,8.7,超能陆战队
https://movie.douban.com/subject/2353023/,557627人评价,和谐的生活离不开摸头与被摸头。,126,8.7,驯龙高手
https://movie.douban.com/subject/1316510/,477481人评价,百看不厌。 ,127,8.7,射雕英雄传之东成西就
https://movie.douban.com/subject/4202302/,395259人评价,曾经的那段美好会沉淀为一辈子的记忆。,128,8.8,借东西的小人阿莉埃蒂
https://movie.douban.com/subject/1292274/,396099人评价,有时候幸福需要等一等。 ,129,8.8,幸福终点站
https://movie.douban.com/subject/1293359/,375743人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,130,8.8,菊次郎的夏天
https://movie.douban.com/subject/1291990/,368421人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,131,8.8,爱在日落黄昏时
https://movie.douban.com/subject/21360417/,461467人评价,恐怖分子的“秋菊打官司”。,132,8.8,恐怖直播
https://movie.douban.com/subject/1300992/,187973人评价,坏人的好总是比好人的好来得更感人。,133,9.1,完美的世界
https://movie.douban.com/subject/1291543/,696146人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,134,8.6,功夫
https://movie.douban.com/subject/26874505/,101691人评价,土壤没有落叶不会肥沃，没有了你就不算人生。,135,9.5,人生果实
https://movie.douban.com/subject/3287562/,718640人评价,Mr. I Don't Care其实也有Care的时候。,136,8.6,神偷奶爸
https://movie.douban.com/subject/1291579/,471152人评价,不要给它起名字，起了名字就有感情了。,137,8.7,怪兽电力公司
https://movie.douban.com/subject/1858711/,365160人评价,跨度十五年的欢乐与泪水。,138,8.8,玩具总动员3
https://movie.douban.com/subject/1418200/,559562人评价,爱是摈弃傲慢与偏见之后的曙光。,139,8.6,傲慢与偏见
https://movie.douban.com/subject/26325320/,587847人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,140,8.7,血战钢锯岭
https://movie.douban.com/subject/1428581/,153175人评价,传奇的年代，醉人的童话。,141,9.2,天书奇谭
https://movie.douban.com/subject/1291585/,284941人评价,动画片的圣经。,142,8.9,风之谷
https://movie.douban.com/subject/1294240/,252531人评价,任何信念的力量，都无法改变命运。,143,8.9,教父3
https://movie.douban.com/subject/10577869/,403100人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,144,8.7,时空恋旅人
https://movie.douban.com/subject/1292208/,233680人评价,被上帝抛弃了的上帝之城。,145,8.9,上帝之城
https://movie.douban.com/subject/1417598/,366271人评价,真相就在眼前。,146,8.7,电锯惊魂
https://movie.douban.com/subject/6307447/,445704人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,147,8.7,被解救的姜戈
https://movie.douban.com/subject/1303037/,244754人评价,中国家庭的喜怒哀乐忍。,148,8.9,喜宴
https://movie.douban.com/subject/1307315/,179753人评价,想你时你在闹海。,149,9.1,哪吒闹海
https://movie.douban.com/subject/25986180/,830416人评价,揭露人性的丧尸题材力作。,150,8.5,釜山行
https://movie.douban.com/subject/1295399/,137271人评价,时代悲歌。,151,9.2,七武士
https://movie.douban.com/subject/1297574/,367848人评价,英雄泪短，兄弟情长。 ,152,8.7,英雄本色
https://movie.douban.com/subject/1578507/,314085人评价,像吃了苏打饼一样干脆的电影。,153,8.8,谍影重重3
https://movie.douban.com/subject/1306861/,221195人评价,爱并不需要智商 。,154,8.9,我是山姆
https://movie.douban.com/subject/3792799/,465239人评价,岁月流逝，来日可追。,155,8.7,岁月神偷
https://movie.douban.com/subject/1291544/,409255人评价,不一样的导演，不一样的哈利·波特。,156,8.7,哈利·波特与阿兹卡班的囚徒
https://movie.douban.com/subject/4920389/,1032860人评价,写给影迷，动漫迷和游戏迷的一封情书。,157,8.7,头号玩家
https://movie.douban.com/subject/1295409/,296560人评价,香港浪漫主义警匪动作片的巅峰之作。,158,8.8,纵横四海
https://movie.douban.com/subject/1907966/,630686人评价,老少皆宜，这就是好莱坞动画的魅力。,159,8.7,疯狂原始人
https://movie.douban.com/subject/26611804/,615671人评价,怼天怼地，你走后，她与世界为敌。,160,8.7,三块广告牌
https://movie.douban.com/subject/25917973/,358873人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,161,8.7,心迷宫
https://movie.douban.com/subject/26628357/,279545人评价,惠及一生的美丽。,162,8.8,一个叫欧维的男人决定去死
