company,method,position,post,salary,time
上海宽带技术及应用工程研究中心,"职位描述,1.根据产品或项目的要求，参与业务集成、系统设计；,2.对接算法工程师，将算法工程师提交的算法进行工程化与后端进行对接；,3.完成编程、调试和单元测试工作；,4.负责相关开发文档的编写；,职位要求,1.本科以上学历，计算机相关专业毕业；2 个以上完整项目经验；,2.有1年以上Python 开发经验，能独立解决开发过程中遇到的各种问题；,3.良好的编码风格和编程习惯，对高质量的代码有执着的追求;熟练掌握SVN，,Git 等代码版本管理工具的使用;,4. 良好的团队精神和沟通能力，高度的事业心和责任感，工作认真负责，具有,良好的职业操守。,加分项,1.了解HTTP 协议, 有Web 应用程序开发经验;,2.熟悉TCP/IP 协议, 有网络服务编程经验者优先;,3.有丰富数据库使用经验者优先;,4.有JAVA 开发经验者优先；,5.有爬虫使用经验者优先；",上海-静安区,Python开发工程师,1-1.5万/月,07-27
深圳市先行设备科技有限公司,3、熟悉Linux；精通Pyhon;  熟悉C/C++/C# 语言编程优先；,深圳-龙岗区,Python开发工程师,1-1.5万/月,07-27
国和瑞斯（北京）科技有限公司,"人员要求：,1. 有编程基础，了解python语言；,2. 了解debian、ubuntu等linux系统基本操作；,3. 有一定英文阅读能力；,4. 自学能力强，对NoSql开源数据库有兴趣了解和学习；,5. 有意向大数据技术方面发展；",北京-海淀区,python工程师,1-1.5万/月,07-27
北京安科兴业科技股份有限公司,"1.应用地质统计建模，地震信号处理，算法研究、建立数据模型开发软件,2.研发创新方法以及常规算法不能解决的问题，积累核心技术和理论研究，形成专利和文献。,【岗位要求】,1.地球物理、资源勘探、物探、应用数学等相关专业，本科及以上专业。,2.具有地震信号处理分析及地质建模等软件研发项目、生产项目或算法研发经验。,3.具有良好的编程经验，熟练掌握PHP编程或python编程、Qt界面编程经验者优先。,4.熟练掌握地震勘探、地质解释及信号处理等学科知识，对叠前及叠后地震数据的正反演模型有深入理解，并能够应用于实际项目。",济南-市中区,地震算法工程师（python/PHP）,5-8千/月,07-27
苏州智铸通信科技股份有限公司,"主要岗位职责：,1  根据公司产品或用户产品功能需求参与制定技术方案，项目计划；,2  根据用户需求分析业务领域相关问题，能提出实施方案及建议；,3  负责对研发项目制定单元测试、压力测试方案及编码；,4  配合运维人员进行数据库性能优化及相关问题的分析解决；,任职要求：,1  3年以上相关工作经验，至少3年以上Python编程经验，使用Python开发过大型系统经验者优先；,2  精通Python语言，熟悉Python开发编码规范，有代码洁癖；熟悉Python多进程应用开发及异步编程,3  熟练使用mongodb，熟悉熟悉索引工作原理,4  熟悉TCP/IP网络协议,熟悉Linux操作系统,熟悉redis等；,5  熟悉至少一种消息队列系统,了解 kafka;,6  熟悉团队协作开发，熟练使用git、svn等版本控制工具，熟悉redmin, gerrit; 熟悉 vagrant,docker，按照项目运行环境要求搭建环境；,7  对新技术有强烈的探索欲望，责任心强，良好的沟通能力，能够承受工作压力，有强烈的责任心；",天津-西青区,Python开发工程师,5-7千/月,07-27
广州方跑网络有限公司,"岗位职责：,1、分布式高并发后台系统开发，参与IM系统开发设计。,2、自动化测试，自动运维相关开发,3、搭建公司云服务,任职要求：,1、性格稳重，工作态度认真，有团队合作精神，能承受一定的工作压力。,2、具有1-3年或以上的go/c++/python开发经验。,3、熟练基本网站架构，熟练掌握web后台编程技术，熟悉http和https协议。,4、熟悉linux shell以及运维相关知识。,5,、熟练使用常用关系数据库mysql，熟悉使用nosql存储，如redis。,6、学习能力强、逻辑分析能力强、善于沟通。",广州-番禺区,服务器（Python）开发工程师,2-3万/月,07-27
善诚科技发展（上海）有限公司无锡...,"工作职责:,负责AI项目的开发以及其他应用系统的设计和开发,任职资格:,1.统招本科及以上学历，计算机相关专业；,2.具备2年以上python项目开发经验，熟练Python语言；,3.熟悉Python的Web开发技术，熟悉Tornado、Django、Flask框架，有扎实的编程功底；,4.熟悉mysql，redis，etcd等常用数据库；,5.熟悉C#,6.具备良好的代码编程习惯及团队合作意识",无锡-无锡新区,python开发工程师(J10123),0.6-1万/月,07-27
汉谷云智（武汉）科技有限公司,"1.负责公司产品的全周期开发管理，根据项目开发任务制定成员工作计划，并指导和监督成员，保证工作完成进度和质量；,2.负责公司软件组成员能力建设和软件组管理工作，提高整个专业组技术水平；,3.理解公司的业务特点，优化和调整当前软件架构，能够把握和控制需求方向，具有一定的系统架构、框架设计能力，满足公司未来业务发展需求；,4.深入理解客户需求，负责软件需求导入、需求挖掘和需求转化；,5.参与软件设计开发（python），负责核心代码编写，软件规范化管理、代码审核，软件开发相关文档的管理维护；,1.精通django/tornado/Flask等python框架，熟悉Web及前端html,css,js,LayUI,Bootstrap等技术；,2.熟悉C/S和B/S结构的信息系统开发；,3.较强的数据库设计与开发能力，至少掌握mysql、sql server、oracle数据库中的一种，了解OPC数据采集，数据可视化展示等技术；,4.计算机相关专业，5年以上项目开发经验；,5.具备软件框架设计能力，软件系统规划能力和软件需求理解能力；,6.较强的业务理解能力、沟通能力和技术文档撰写能力；,7.团队意识强，具有强烈的工作责任心。",武汉-洪山区,软件开发主管（python）,0.7-1.5万/月,07-27
广州国交润万交通信息有限公司,"任职要求：,1、参与项目需求分析，业务逻辑流程与设计，文档编写；,2、能独立解决实际开发过程碰到的各类问题;,4、负责数据分析云平台和数据存储系统的搭建,5  搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题,岗位要求：,1、掌握常见的Python框架，熟悉Flask、Django，熟悉rmq，redis等缓存技术,2、熟悉Socket编程、HTTP、TCP协议等，有网络开发经验；,3、熟悉Linux系统以及相关的操作;,4、抗压能力强，工作踏实勤恳，有较强的团队合作精神,5. 熟悉大数据量、高并发、高性能系统优化者优先,6 具备Web前端的开发能力优先",广州,Python开发工程师,1-1.5万/月,07-27
西安吉祥果信息科技有限公司,"岗位描述：,1. 根据功能需求和设计方案进行开发，完成代码的编写和调试工作。,2. 参与业务的需求讨论, 制订技术解决方案。,3. 负责服务器端系统架构、性能、安全、扩展等优化的设计和实现,4. 负责服务器端的持续迭代优化工作, ,1.专科以上学历，有一年项目经验优先。,2. 掌握一种或多种脚本语言（Javascript、Python、PHP等），熟悉 Django、Tornado 等框架者优先。,3. 熟练使用MySQL、NoSQL存储系统, 熟练使用Redis优先。,4. 具有良好的团队合作意识, 良好的沟通表达能力，踏实肯干，认真负责。,5. 熟悉 Unix/Linux 环境，使用云服务(阿里云、腾讯云)开发和部署者优先。,6. 熟悉 GIT / SVN 版本控制系统者优先。,7. 熟悉设计模式，熟悉常用的数据结构和算法, 掌握面向对象开发思想。,工作待遇：,1、补贴福利:无责任底薪+绩效奖金，年底计发双薪，整年计发十三薪。,2、薪酬福利：为员工提供富有竞争力的薪酬体系并每年对员工进行年度薪酬调整。,3、社会保险：公司为员工统一购买医疗保险、工伤保险、养老保险、生育保险、失业保险、医疗保险及住房公积金。,4、晋升机制：公司设立良好的晋升机制并提供内部招聘、职位轮换机会。,5、成长与职业发展：人力资源部为所有岗位建立了成长模式和职业发展通道，并以顾问形式为员工提供成长建议。,6、节日贺礼：公司在传统佳节派发节日礼品以增添节日气氛。,7、生日派对：员工过生日公司生日派对及贺卡以表祝福。,8、公司给予员工生活关怀，公司设有茶水间，休息阳台和员工休息室，提供零食柜，咖啡吧台、微波炉，冰箱等。,8. 有很强的分析问题和解决问题的实践动手能力。",成都-武侯区,Python游戏研发实习,3-4.5千/月,07-27
